Month,euro_trend
2020-03-01,8.0
2020-04-01,7.25
2020-05-01,7.6
2020-06-01,7.25
2020-07-01,11.5
2020-08-01,17.0
2020-09-01,14.5
2020-10-01,15.0
2020-11-01,23.0
2020-12-01,9.75
2021-01-01,10.2
2021-02-01,10.75
2021-03-01,16.5
2021-04-01,11.75
2021-05-01,11.4
2021-06-01,29.0
2021-07-01,15.75
2021-08-01,13.4
2021-09-01,12.5
2021-10-01,18.2
2021-11-01,41.75
2021-12-01,60.75
2022-01-01,22.8
2022-02-01,18.75
2022-03-01,18.75
2022-04-01,16.0
2022-05-01,24.2
2022-06-01,30.0
2022-07-01,31.2
2022-08-01,26.5
2022-09-01,24.0
2022-10-01,20.0
2022-11-01,20.75
2022-12-01,17.5
2023-01-01,17.4
2023-02-01,14.5
2023-03-01,15.0
2023-04-01,17.6
2023-05-01,20.75
2023-06-01,45.0
2023-07-01,38.6
2023-08-01,29.25
2023-09-01,24.25
2023-10-01,22.6
2023-11-01,22.5
2023-12-01,18.4
2024-01-01,16.0
2024-02-01,15.25
2024-03-01,18.0
2024-04-01,17.0
2024-05-01,15.75
2024-06-01,45.0
2024-07-01,25.0
2024-08-01,22.25
2024-09-01,18.6
2024-10-01,16.5
2024-11-01,16.5
2024-12-01,13.8
2025-01-01,14.5
2025-02-01,14.25
2025-03-01,19.4
